DocumentNo,Doc.Date,Post.Date,Reference,Particulars,Debit,Credit
Opening,31.03.2023,31.03.2023,,,,"176,410.00"
2023310062,06.04.2023,06.04.2023,,"XXXXX XXXXX XXXX
PRIVATE_Neft paid agnst bill","50,740.00",
2023310345,20.04.2023,20.04.2023,,"XXXXX XXXXX XXXX
PRIVATE_Neft paid agnst bill","125,670.00",
2023601554,21.04.2023,30.04.2023,223330297,"FERROSILICOMAGNESIUM
5-25MM@225000",,"282,905.00"
2023601555,21.04.2023,30.04.2023,823400261,"SUPERSEED75(0.2-0.7MM)@
355000",,"41,890.00"
2023603253,19.05.2023,30.05.2023,223330369,"FERROSILICOMAGNESIUM
5-25MM@22000",,"393,648.00"
2023312405,28.07.2023,28.07.2023,,"XXXXX XXXXX XXXX
PRIVATE_paid agint bills","324,795.00",
2023312540,16.08.2023,16.08.2023,,"XXXXX XXXXX XXXX
PRIVATE_paid agint bills","393,648.00",
2023609584,18.09.2023,27.09.2023,823400676,LAMETFESIMG(10-25MM)@200,,"303,850.00"
2023610115,18.09.2023,30.09.2023,223330803,"SUPERSEEDEXTRA(2-6MM)@
355000",,"125,670.00"
2023611159,10.10.2023,19.10.2023,823400741,"LAMETFESIMG(10-25MM)@
200000",,"236,000.00"
2023611422,18.10.2023,27.10.2023,823400771,"LAMETFESIMG(10-25MM)@
200000",,"177,000.00"
2023611423,18.10.2023,27.10.2023,223330906,"SUPERSEEDEXTRA(2-6MM)@
355000",,"167,560.00"
2023314059,08.11.2023,08.11.2023,,XXXXX XXXXX XXXX,"125,670.00",
,,,,,,
